row_id,primary_class,owned_classes,top_next_classes
0,fighter,fighter,"['barbarian', 'wizard', 'warlock', 'sorcerer', 'paladin']"
1,fighter,fighter,"['barbarian', 'wizard', 'paladin', 'warlock', 'druid']"
2,fighter,fighter,"['barbarian', 'wizard', 'rogue', 'artificer', 'monk']"
3,fighter,fighter,"['barbarian', 'rogue', 'monk', 'wizard', 'sorcerer']"
4,rogue,rogue,"['barbarian', 'fighter', 'wizard', 'sorcerer', 'warlock']"
5,fighter,fighter,"['barbarian', 'rogue', 'monk', 'wizard', 'sorcerer']"
6,fighter,fighter,"['barbarian', 'wizard', 'monk', 'cleric', 'rogue']"
7,fighter,fighter,"['barbarian', 'rogue', 'monk', 'wizard', 'warlock']"
8,fighter,fighter|monk,"['barbarian', 'ranger', 'druid', 'rogue', 'cleric']"
9,fighter,fighter,"['wizard', 'warlock', 'sorcerer', 'bard', 'artificer']"
10,druid,barbarian|druid,"['fighter', 'paladin', 'rogue', 'cleric', 'monk']"
11,cleric,cleric,"['fighter', 'barbarian', 'wizard', 'artificer', 'sorcerer']"
12,cleric,cleric,"['fighter', 'barbarian', 'wizard', 'artificer', 'sorcerer']"
13,monk,monk|ranger,"['fighter', 'warlock', 'barbarian', 'paladin', 'sorcerer']"
14,fighter,fighter,"['barbarian', 'wizard', 'cleric', 'druid', 'artificer']"
15,fighter,fighter,"['barbarian', 'monk', 'wizard', 'cleric', 'druid']"
16,paladin,barbarian|paladin,"['fighter', 'druid', 'warlock', 'cleric', 'sorcerer']"
17,warlock,monk|warlock,"['fighter', 'ranger', 'cleric', 'druid', 'rogue']"
18,paladin,paladin,"['barbarian', 'fighter', 'druid', 'cleric', 'warlock']"
19,fighter,fighter,"['monk', 'cleric', 'rogue', 'ranger', 'druid']"
20,barbarian,barbarian,"['fighter', 'rogue', 'druid', 'paladin', 'wizard']"
21,paladin,paladin,"['barbarian', 'fighter', 'druid', 'cleric', 'warlock']"
22,fighter,fighter,"['monk', 'cleric', 'rogue', 'ranger', 'druid']"
23,barbarian,barbarian,"['fighter', 'rogue', 'druid', 'paladin', 'wizard']"
24,rogue,rogue,"['ranger', 'fighter', 'druid', 'cleric', 'monk']"
25,ranger,ranger,"['rogue', 'fighter', 'monk', 'cleric', 'druid']"
26,wizard,wizard,"['fighter', 'rogue', 'artificer', 'sorcerer', 'barbarian']"
27,warlock,warlock,"['fighter', 'rogue', 'sorcerer', 'bard', 'monk']"
28,sorcerer,sorcerer,"['fighter', 'barbarian', 'rogue', 'warlock', 'paladin']"
29,cleric,cleric,"['fighter', 'druid', 'barbarian', 'sorcerer', 'warlock']"
30,druid,druid,"['fighter', 'monk', 'cleric', 'rogue', 'wizard']"
31,fighter,fighter,"['monk', 'ranger', 'rogue', 'druid', 'cleric']"
32,cleric,cleric,"['fighter', 'monk', 'rogue', 'druid', 'ranger']"
33,wizard,wizard,"['fighter', 'rogue', 'artificer', 'druid', 'cleric']"
34,rogue,rogue,"['ranger', 'fighter', 'monk', 'druid', 'cleric']"
35,paladin,paladin,"['barbarian', 'fighter', 'warlock', 'sorcerer', 'bard']"
36,monk,monk,"['fighter', 'ranger', 'cleric', 'rogue', 'druid']"
37,artificer,artificer,"['fighter', 'wizard', 'rogue', 'warlock', 'paladin']"
38,bard,bard,"['fighter', 'rogue', 'warlock', 'sorcerer', 'paladin']"
39,,,"['fighter', 'barbarian', 'rogue', 'paladin', 'ranger']"
40,,,"['fighter', 'druid', 'monk', 'rogue', 'cleric']"
41,wizard,wizard,"['fighter', 'rogue', 'artificer', 'ranger', 'monk']"
42,fighter,fighter,"['monk', 'barbarian', 'rogue', 'druid', 'cleric']"
43,cleric,cleric,"['druid', 'sorcerer', 'paladin', 'warlock', 'rogue']"
44,wizard,wizard,"['fighter', 'rogue', 'artificer', 'sorcerer', 'barbarian']"
45,fighter,fighter|wizard,"['barbarian', 'artificer', 'monk', 'sorcerer', 'ranger']"
46,rogue,rogue,"['fighter', 'wizard', 'artificer', 'barbarian', 'ranger']"
47,fighter,barbarian|fighter,"['rogue', 'monk', 'wizard', 'druid', 'paladin']"
48,artificer,artificer,"['fighter', 'wizard', 'rogue', 'paladin', 'druid']"
49,druid,druid,"['fighter', 'rogue', 'monk', 'cleric', 'ranger']"
50,ranger,ranger,"['rogue', 'fighter', 'monk', 'wizard', 'sorcerer']"
51,monk,monk,"['fighter', 'ranger', 'rogue', 'cleric', 'druid']"
52,bard,bard,"['fighter', 'rogue', 'warlock', 'sorcerer', 'wizard']"
53,fighter,fighter,"['barbarian', 'rogue', 'monk', 'wizard', 'sorcerer']"
54,warlock,warlock,"['fighter', 'rogue', 'bard', 'sorcerer', 'monk']"
55,druid,druid,"['fighter', 'ranger', 'rogue', 'cleric', 'monk']"
56,wizard,wizard,"['fighter', 'rogue', 'artificer', 'druid', 'warlock']"
57,barbarian,barbarian|rogue,"['fighter', 'ranger', 'druid', 'paladin', 'warlock']"
58,ranger,ranger,"['rogue', 'monk', 'fighter', 'druid', 'cleric']"
59,monk,monk,"['fighter', 'ranger', 'cleric', 'rogue', 'druid']"
60,paladin,paladin,"['barbarian', 'fighter', 'warlock', 'sorcerer', 'bard']"
61,bard,bard,"['fighter', 'warlock', 'rogue', 'sorcerer', 'paladin']"
62,,,"['fighter', 'wizard', 'rogue', 'artificer', 'warlock']"
63,rogue,rogue,"['fighter', 'warlock', 'sorcerer', 'bard', 'barbarian']"
64,wizard,wizard,"['fighter', 'rogue', 'artificer', 'warlock', 'monk']"
65,ranger,ranger|rogue,"['barbarian', 'fighter', 'monk', 'wizard', 'sorcerer']"
66,cleric,cleric|sorcerer,"['fighter', 'rogue', 'druid', 'monk', 'warlock']"
67,monk,monk,"['fighter', 'ranger', 'rogue', 'cleric', 'druid']"
68,fighter,fighter,"['barbarian', 'wizard', 'artificer', 'monk', 'ranger']"
69,warlock,warlock,"['fighter', 'rogue', 'bard', 'sorcerer', 'monk']"
70,sorcerer,sorcerer,"['fighter', 'rogue', 'warlock', 'bard', 'cleric']"
